Serial,Raw,A,V,Notes
220,508,0,2.48,
221,508,0,2.48,
222,508,0,2.48,
223,7,-97.9,0.03,
224,8,-97.7,0.04,
225,7,-97.9,0.03,
226,79,-83.8,0.39,
227,82,-83.2,0.4,
228,71,-85.4,0.35,
229,83,-83,0.41,
230,109,-77.9,0.53,
231,232,-53.9,1.13,
232,507,-0.2,2.48,
233,515,1.4,2.52,
234,517,1.8,2.53,
235,510,0.4,2.49,
236,512,0.8,2.5,
237,514,1.2,2.51,
238,553,8.8,2.7,
239,553,8.8,2.7,
240,537,5.7,2.62,
241,555,9.2,2.71,
242,538,5.9,2.63,
243,534,5.1,2.61,
244,553,8.8,2.7,
245,512,0.8,2.5,
246,541,6.4,2.64,
247,547,7.6,2.67,
248,549,8,2.68,
249,515,1.4,2.52,
250,537,5.7,2.62,
251,547,7.6,2.67,
252,544,7,2.66,
253,544,7,2.66,
254,525,3.3,2.57,
255,508,0,2.48,
256,519,2.1,2.54,
257,545,7.2,2.66,
258,545,7.2,2.66,
259,543,6.8,2.65,
260,532,4.7,2.6,
261,510,0.4,2.49,
262,515,1.4,2.52,
263,535,5.3,2.61,
264,542,6.6,2.65,
265,525,3.3,2.57,
266,509,0.2,2.49,
267,533,4.9,2.61,
268,536,5.5,2.62,
269,542,6.6,2.65,
270,533,4.9,2.61,
271,539,6.1,2.63,
272,541,6.4,2.64,
273,534,5.1,2.61,
274,520,2.3,2.54,
275,523,2.9,2.56,
276,510,0.4,2.49,
277,510,0.4,2.49,
278,508,0,2.48,
279,511,0.6,2.5,
280,537,5.7,2.62,
281,537,5.7,2.62,
282,542,6.6,2.65,
283,541,6.4,2.64,
284,537,5.7,2.62,
285,537,5.7,2.62,
286,529,4.1,2.59,
287,517,1.8,2.53,
288,516,1.6,2.52,
289,513,1,2.51,
290,508,0,2.48,
291,511,0.6,2.5,
292,515,1.4,2.52,
293,509,0.2,2.49,
294,510,0.4,2.49,
295,526,3.5,2.57,
296,508,0,2.48,
297,529,4.1,2.59,
298,519,2.1,2.54,
299,508,0,2.48,
300,509,0.2,2.49,
301,525,3.3,2.57,
302,521,2.5,2.55,
303,515,1.4,2.52,
304,522,2.7,2.55,
305,536,5.5,2.62,
306,508,0,2.48,
307,522,2.7,2.55,
308,508,0,2.48,
309,508,0,2.48,
310,508,0,2.48,
311,532,4.7,2.6,
312,524,3.1,2.56,
313,508,0,2.48,
314,536,5.5,2.62,
315,512,0.8,2.5,
316,508,0,2.48,
317,508,0,2.48,
1255,507,-0.2,2.48,
1256,507,-0.2,2.48,
1257,7,-97.9,0.03,  KEY ON
1258,94,-80.9,0.46,
1259,199,-60.4,0.97,
1260,254,-49.6,1.24,  KEY OFF
1261,518,2,2.53,
1262,531,4.5,2.6,
1263,512,0.8,2.5,
1264,523,2.9,2.56,
1265,539,6.1,2.63,
1266,535,5.3,2.61,
1267,542,6.6,2.65,
1268,555,9.2,2.71,
1269,524,3.1,2.56,
1270,551,8.4,2.69,
1271,517,1.8,2.53,
1272,549,8,2.68,
1273,550,8.2,2.69,
1274,517,1.8,2.53,
1275,516,1.6,2.52,
1276,540,6.3,2.64,
1277,553,8.8,2.7,
1278,552,8.6,2.7,
1279,552,8.6,2.7,
1280,528,3.9,2.58,
1281,550,8.2,2.69,
1282,527,3.7,2.58,
1283,527,3.7,2.58,
1284,551,8.4,2.69,
1285,522,2.7,2.55,
1286,524,3.1,2.56,
1287,528,3.9,2.58,
1288,534,5.1,2.61,
1289,538,5.9,2.63,
1290,549,8,2.68,
1291,549,8,2.68,
1292,545,7.2,2.66,
1293,530,4.3,2.59,
1294,518,2,2.53,
1295,513,1,2.51,
1296,524,3.1,2.56,
1297,529,4.1,2.59,
1298,532,4.7,2.6,
1299,515,1.4,2.52,
1300,546,7.4,2.67,
1301,535,5.3,2.61,
1302,509,0.2,2.49,
1303,526,3.5,2.57,
1304,540,6.3,2.64,
1305,545,7.2,2.66,
1306,523,2.9,2.56,
1307,510,0.4,2.49,
1308,534,5.1,2.61,
1309,533,4.9,2.61,
1310,510,0.4,2.49,
1311,539,6.1,2.63,
1312,510,0.4,2.49,
1313,539,6.1,2.63,
1314,535,5.3,2.61,
1315,524,3.1,2.56,
1316,534,5.1,2.61,
1317,516,1.6,2.52,
1318,540,6.3,2.64,
1319,510,0.4,2.49,
1320,527,3.7,2.58,
1321,541,6.4,2.64,
1322,518,2,2.53,
1323,518,2,2.53,
1324,541,6.4,2.64,
1325,532,4.7,2.6,
1326,511,0.6,2.5,
1327,520,2.3,2.54,
1328,539,6.1,2.63,
1329,508,0,2.48,
1330,508,0,2.48,
1331,507,-0.2,2.48,
1332,507,-0.2,2.48,
1333,507,-0.2,2.48,
1334,508,0,2.48,
1897,508,0,2.48,
1898,508,0,2.48,
1899,507,-0.2,2.48,
1900,507,-0.2,2.48, KEY ON
1901,7,-97.9,0.03,
1902,84,-82.8,0.41,
1903,145,-70.9,0.71,
1904,271,-46.3,1.32,
1905,275,-45.5,1.34,
1906,322,-36.3,1.57,
1907,314,-37.9,1.53,
1908,336,-33.6,1.64,
1909,396,-21.9,1.94,
1910,353,-30.3,1.73,
1911,328,-35.2,1.6,  KEY OFF
1912,549,8,2.68,
1913,553,8.8,2.7,
1914,525,3.3,2.57,
1915,518,2,2.53,
1916,537,5.7,2.62,
1917,535,5.3,2.61,
1918,544,7,2.66,
1919,550,8.2,2.69,
1920,516,1.6,2.52,
1921,553,8.8,2.7,
1922,508,0,2.48,
